LEAID,STNAME,FIPST,LEANM,PCTPROF_MTH_clean,PCTPROF_RLA_clean,NUMVALID_MTH_clean,NUMVALID_RLA_clean,SCHLEV,MEMBERSCH,TOTALEXP,TOTALREV,TFEDREV,TSTREV,TLOCREV,TCURINST,TCURSSVC,TCAPOUT,per_pupil_exp,poverty_rate,Estimated Population 5-17,cluster,log_enrollment,silhouette
3416590,NEW JERSEY,34,UPPER PITTSGROVE TWP School District,63.0,64.0,209,209,01,318,9454000,9272000,275000,4406000,4591000,4056000,2523000,138000,29729.559748427677,11.195445920303603,527,0,5.765191102784844,0.3996166231014698
3416620,NEW JERSEY,34,Upper Saddle River School District,83.0,85.0,794,789,01,1117,27450000,29057000,350000,4653000,24054000,14932000,10047000,477000,24574.753804834378,2.4070021881838075,1371,0,7.0192966537150445,0.4564156239197271
3416650,NEW JERSEY,34,Upper Township School District,66.0,78.0,925,922,01,1442,38560000,40762000,840000,13823000,26099000,15078000,11190000,626000,26740.638002773925,6.663326653306613,1996,0,7.274479558773871,0.47661290261106054
3416680,NEW JERSEY,34,Ventnor City School District,45.0,56.0,418,415,01,662,24385000,24036000,1051000,5216000,17769000,10761000,6406000,2190000,36835.347432024166,17.262830482115085,1286,0,6.4967749901858625,0.10430277589569163
3416710,NEW JERSEY,34,Vernon Township School District,44.0,58.0,1765,1785,03,2984,77881000,77699000,1535000,35922000,40242000,40825000,31922000,220000,26099.5308310992,4.778156996587031,3516,0,8.001355025826703,0.3030009669630922
3416740,NEW JERSEY,34,Verona Public School District,52.0,71.0,1268,1300,03,2215,42930000,46398000,743000,8309000,37346000,23111000,13742000,162000,19381.48984198645,7.158737216540685,2249,0,7.703459047867175,0.46826604042289144
3416800,NEW JERSEY,34,Vineland Public School District,26.0,34.0,5930,5862,03,9597,230906000,218282000,12873000,178348000,27061000,112241000,79694000,7109000,24060.227154319055,18.5611100551226,10522,1,9.169310022418191,0.38790166746300414
3416830,NEW JERSEY,34,Voorhees Township School District,60.0,74.0,1977,1970,01,3027,60427000,65265000,1431000,14088000,49746000,35374000,18823000,741000,19962.669309547407,5.700325732899023,3070,0,8.01565761455734,0.5095248384081424
3416860,NEW JERSEY,34,Waldwick School District,59.0,73.0,970,967,03,1596,38211000,39087000,567000,6874000,31646000,20371000,10641000,2966000,23941.72932330827,5.513639001741149,1723,0,7.3758821482150125,0.48777129988206125
3416870,NEW JERSEY,34,Wallkill Valley Regional High School,27.0,50.0,250,282,02,604,18163000,18512000,298000,6889000,11325000,9220000,5916000,243000,30071.19205298013,5.86734693877551,784,0,6.405228458030842,0.008274928315683312
