LEAID,LEANM,STNAME,per_pupil_exp,poverty_rate,PCTPROF_RLA_clean,predicted_reading,residual_reading,PCTPROF_MTH_clean,predicted_math,residual_math
3306540,Sunapee School District,NEW HAMPSHIRE,30900.0,4.273504273504273,70.0,62.83732848096359,7.162671519036408,69.0,55.950699441302596,13.049300558697404
3306600,Tamworth School District,NEW HAMPSHIRE,38097.2972972973,11.314984709480122,27.0,56.31678998651651,-29.31678998651651,27.0,49.12062514263196,-22.12062514263196
3306660,Thornton School District,NEW HAMPSHIRE,20702.325581395347,11.961722488038278,67.0,54.572519473025935,12.427480526974065,67.0,48.95178115088764,18.04821884911236
3306720,Timberlane Regional School District,NEW HAMPSHIRE,19167.33987305251,3.871763255240444,58.0,62.49113757245898,-4.491137572458982,46.0,56.627866914365484,-10.627866914365484
3306780,Wakefield School District,NEW HAMPSHIRE,21276.59574468085,6.769230769230769,44.0,59.75396290795253,-15.753962907952527,46.0,53.83903220702443,-7.839032207024431
3306930,Weare School District,NEW HAMPSHIRE,14477.94871794872,6.197183098591549,42.0,59.88950948077836,-17.889509480778358,38.0,54.551689116801214,-16.551689116801214
3307020,Westmoreland School District,NEW HAMPSHIRE,27859.25925925926,7.079646017699115,82.0,59.8639556843232,22.1360443156768,47.0,53.37884661809488,-6.378846618094883
3307050,White Mountain Regional School District,NEW HAMPSHIRE,19363.143631436316,15.058611361587015,52.0,51.418995960227534,0.5810040397724663,44.0,46.06225045730075,-2.062250457300749
3307115,Wilton-Lyndeboro School District,NEW HAMPSHIRE,21943.94213381555,4.784130688448075,54.0,61.763245410256644,-7.763245410256644,53.0,55.696067625183744,-2.696067625183744
3307140,Winchester School District,NEW HAMPSHIRE,27198.090692124104,19.53125,33.0,47.484260507314914,-14.484260507314914,20.0,41.64103137918928,-21.64103137918928
3307170,Windham School District,NEW HAMPSHIRE,23287.791680757524,2.6792750197005515,75.0,63.934102353739924,11.065897646260076,74.0,57.64897739660406,16.35102260339594
3307230,Winnacunnet Coop School District,NEW HAMPSHIRE,25569.471624266145,6.0606060606060606,72.0,60.728425997907266,11.271574002092734,52.0,54.39898609751454,-2.3989860975145376
3307300,Winnisquam Regional School District,NEW HAMPSHIRE,17499.65301873699,7.3023536511768254,52.0,58.986125066196315,-6.9861250661963155,41.0,53.43165559344564,-12.43165559344564
3399965,Pemi-baker Regional School District,NEW HAMPSHIRE,30272.590361445786,7.377049180327869,72.0,59.72236090980215,12.277639090197852,47.0,53.03681204129792,-6.036812041297921
